name,type,prefix,price,product,sizeImpression,sku,compositeItem,parentSku,weight,width,variant1Type,variant1Values,variant2Type,variant2Values,alias,amazon.DesCourtes,amazon.title,amazon.Title_FR,aspect,category,CompositeItem,densite,dimentions,dossier,ERPCategory,genre,height,label,length,picture_1,picture_2,picture_3,picture_4,picture_5,picture_6,picture_7,
SetdeTableLin,parent,Stlin,9.90,parent,,COR_{prefix}_{skuLabel}_{quantite},Set-table-dessous-lin,COR_Stlin_{Label},100,40,quantite,"1,4",,,,,"Set de Table en Lin – {AmazonTitleFr} - Grand Format 40 x 28,5 cm",,,accessories,,,,/placemats_lin,,unisex,1,,28.5,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_plin_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_plin_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_plin_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_plin_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/plin-info.png,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_5_plin_{skuLabel}.jpg,,
PochetteLin,parent,PocLin,8.39,parent,,COR_{prefix}_{skuLabel}_{taille},pochette-lin-{taille},COR_PocLin_{Label},100,10,taille,"S,L",,,,,Pochette en Lin – {AmazonTitleFr} - Trousse maquillage en Toile aspect Lin - Trousse de toilette - Porte Monnaie,,,accessories,,,,/pochette,,unisex,3,,15,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_pob_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_pob_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_pob_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/pochette-info.png,,,,
PotCéramque,parent,Poc,15.9,parent,,COR_{prefix}_{skuLabel}_{taille},pot-ceramique-bambou-{taille},COR_Poc_{Label},450,10,taille,"S,M,L",,,,,Pot en Céramique avec couvercle Bambou – {AmazonTitleFr},,,accessories,,,,/ceramicPot,,unisex,9.5,,10,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_pcs_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_pcs_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_pcs_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_pcs_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/potceramic-info.png,,,
PotCrayon,parent,Crp,14.9,parent,,COR_{prefix}_{skuLabel},pot-a-crayon-cermique,COR_Crp_{Label},350,8.2,,,,,mugsCeramique,,Pot à Crayon en Céramique – {AmazonTitleFr} - 325 ml,,,accessories,,,,/pencilPot,,unisex,9.5,,8.2,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_pen_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_pen_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_pen_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/pencil-info.png,,,,
PuzzleCarton,parent,Pzc,,parent,,COR_{prefix}_{skuLabel}_{piece},Puzzle_carton_{piece},COR_Pzc_{Label},300,30,piece,"100,280,500,540,1000",,,,,Puzzle Classique {AmazonTitleFr},,,accessories,,,,/puzzleCarton,,unisex,0.3,,40,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_5_pz2_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_pz2_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_pz2_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_pz2_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_pz2_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_6_pz2_{skuLabel}.jpg,,
PuzzleBois,parent,Pzb,,parent,,COR_{prefix}_{skuLabel}_{piece},Puzzle_bois_{piece},COR_Pzb_{Label},200,20,piece,"48,96",,,,,Puzzle en bois 48 ou 96 pièces {AmazonTitleFr},,,accessories,,,,/puzzleBois,,unisex,0.6,,28,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_5_puz_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_puz_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_puz_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_puz_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_puz_{skuLabel}.jpg,,,
RéveilCube,parent,Rev,17.90,parent,,COR_{prefix}_{skuLabel}_{color},reveil-cube,COR_Rev_{Label},150,7.8,color,"white,blue,black,grey,red,pink",,,HousseCoussin,,"Réveil Cube Lumineux {AmazonTitleFr} - 7,8 x 7,8 x 7,8 cm - Retro Éclairage multicolore Led",,,accessories,,,,/clock_cube,,unisex,7.8,,7.8,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_clc-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_clc-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_clc-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/clockcube-info.png,,,,
Paillasson,parent,Pai60,34.90,parent,,COR_{prefix}_{skuLabel},paillasson-{taille},COR_Pai60_{Label},470,40,taille,"60x40,75x50",,,,,Paillasson {AmazonTitleFr},,,accessories,,,,/doormat,,unisex,1.5,,60,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_fm_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_fm_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_fm_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_fm_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fm-info2.png,https://storage.googleapis.com/mockup_public_col/{dossier}/fm-info.png,,
TapisSalledeBain,parent,Tsdb,17.90,parent,,COR_{prefix}_{skuLabel}_{color},tapis-sdb-40x60,COR_Tsdb_{Label},160,40,color,"white,blue,black,grey,red,pink",,,,,Tapis de Salle de Bain {AmazonTitleFr},,,accessories,,,,/bathmat,,unisex,1,,60,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_bm-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_bm-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_bm-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/bathmat-info.png,,,,
SetdeTableClassique,parent,Stb,9.9,parent,,COR_{prefix}_{skuLabel}_{quantite},Set-table-dessous-liege,COR_Stb_{Label},150,39.5,quantite,"1,4",,,,,"Set de Table Dessous en liège {AmazonTitleFr} - Grand Format 39,5 x 28,5 cm",,,accessories,,,,/placemats,,unisex,2,,28.5,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_pl-blanc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_pl-blanc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_pl-blanc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_4_pl-blanc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_pls-blanc_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_pls-blanc_{skuLabel}.jpg,,
HoodiesEnfant,parent,HoE,34.90,parent,,COR_{prefix}_{skuLabel}_{color}_{taille},Hoodies-Enfant-{taille}-{color},COR_HoE_{Label},300,,color,"black,blue,pink,white",taille,"6a,8a,10a,12a",tshirt,,Hoodie Sweat à Capuche Enfant {AmazonTitleFr} - Premium,,,kid,,,,/hoodiesEnfant,,unisex,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_kdh-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_kdh-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_kdh-{color_FR}_{skuLabel}.jpg,,,,,
SweatshirtEnfant,parent,SwE,29.90,parent,,COR_{prefix}_{skuLabel}_{color}_{taille},Sweat-Shirt-Enfant-{taille}-{color},COR_SwE_{Label},300,,color,"black,blue,orange",taille,"4a,6a,8a,10a,12a",tshirt,,Sweatshirt Enfant {AmazonTitleFr},,,kid,,,,/sweatEnfantCouleur,,unisex,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_kss-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_kss-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_kss-{color_FR}_{skuLabel}.jpg,,,,,
SweatshirtFemme,parent,Swf,24.90,parent,,COR_{prefix}_{skuLabel}_{color}_{taille},Sweat-Shirt-Femme-{taille}-{color},COR_Swf_{Label},250,,color,"white,blue,black,grey,red",taille,"XS,S,M,L,XL",tshirt,,Sweatshirt Femme {AmazonTitleFr},,,adult,,,,/sweatFemme,,female,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_ssf-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_ssf-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_ssf-{color_FR}_{skuLabel}.jpg,,,,,
SweatshirtHomme,parent,SwH,24.90,parent,,COR_{prefix}_{skuLabel}_{color}_{taille},Sweat-Shirt-Homme-{taille}-{color},COR_SwH_{Label},300,,color,"black,blue,grey,red",taille,"S,M,L,XL",tshirt,,Sweatshirt Homme {AmazonTitleFr},,,adult,,,,/sweatHomme,,male,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_1_ssh-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_2_ssh-{color_FR}_{skuLabel}.jpg,https://storage.googleapis.com/mockup_public_col/{dossier}/fab_3_ssh-{color_FR}_{skuLabel}.jpg,,,,,
